job_title,job_detail_url,job_listed,company_name,company_link,company_location
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-pandit-view-software-llc-3741157444?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=Dht4u0%2FR5Y3WYaOvfrqntA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,Pandit View Software LLC,https://www.linkedin.com/company/pandit-view-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Downingtown, PA"
Data Analyst I,https://www.linkedin.com/jobs/view/data-analyst-i-at-cover-whale-3759423245?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=sTo0yLsnSGjDtAg%2BIMBwNQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Cover Whale,https://www.linkedin.com/company/cover-whale?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-the-dignify-solutions-llc-3749990944?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=OTqHuX1%2Bv4XqFRsiXxHbOw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,"The Dignify Solutions, LLC",https://www.linkedin.com/company/dignify-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-applab-systems-inc-3732006174?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=csAuiVwckxZC8fyHzomDrA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,"AppLab Systems, Inc",https://www.linkedin.com/company/applab-systems-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
Junior level SQL Developer,https://www.linkedin.com/jobs/view/junior-level-sql-developer-at-fitness-matrix-inc-3763678581?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=kVWSjGNZF7KYOY2wJBVKlQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,16 hours ago,Fitness Matrix Inc,https://www.linkedin.com/company/fitness-matrix-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Houston, TX"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-extend-information-systems-inc-3748461954?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=tKVT2rDRdvn4LqNfwg4f3Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Extend Information Systems Inc.,https://www.linkedin.com/company/extendinfosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sunnyvale, CA"
Python Developer (Entry Level),https://www.linkedin.com/jobs/view/python-developer-entry-level-at-synergisticit-3744978631?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=lrv%2F9c%2F%2BzTXMn1femOVe%2FQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Irving, TX"
Python Programmer(Entry Level),https://www.linkedin.com/jobs/view/python-programmer-entry-level-at-synergisticit-3715208458?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=xbC10SpIgJwnes2a8RYHfQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
Python Developer -- 12+ Months Contract -- Remote,https://www.linkedin.com/jobs/view/python-developer-12%2B-months-contract-remote-at-lorven-technologies-inc-3726687090?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=xCBichx1LyJetGty1ijF%2Bg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Lorven Technologies Inc.,https://www.linkedin.com/company/lorventech?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Python Developer (Entry Level),https://www.linkedin.com/jobs/view/python-developer-entry-level-at-synergisticit-3721994330?refId=XPc39Sgc8JGE7hvmoYy7kA%3D%3D&trackingId=%2FYBT8cJi6Xju64uDcjxm2Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
